Defect,Para01,Para02,Para03,Para04,Para05,Para06,Para07,Para08,Para09,Para10,Para11,Para12,Para13,Para14,Para15,Para16,Para17,Para18,Para19,Para20,Para21,Para22,Para23,Para24,Para25,Para26,Para27,Para28,Para29,Para30,Para31,Para32,Para33,Para34,Para35,Para36,Para37,Para38,Para39,Para40,Para41,Para42,Para43,Para44,Para45,Para46,Para47,Para48,Para49,Para50,Para51,Para52,Para53,Para54,Para55,Para56,Para57,Para58,Para59,Para60,Para61,Para62,Para63,Para64,Para65,Para66,Para67,Para68,Para69,Para70,Para71
OK,26.94,132.52,146.53,23.48,111.63,11.35,15.65,134.87,11.28,10.95,106.79,11.42,27.33,98.12,11.42,23.8,61.52,11.47,11.02,99.43,0.2204,21.32,121.1,1486.29,26.42,113.74,-12.487,11.24,100.15,0.054,23.49,77.51,0.059,23.12,114.13,0.076,28.95,99.2,0.051,23.3,85.1,0.051,13.27,100.78,0.192,16.97,90,0.254,16.89,137.26,0.257,22.75,118.26,0.227,25.81,88.41,0.225,28.38,117.3,23.08,11.07,72.44,22.95,23.49,95.96,23.13,24.76,121.7,23.04,19.92,22.88
OK,16.6,110.65,116.16,27.68,121.34,11.32,27.04,110.89,11.33,19.58,122.85,11.42,22.19,108.07,11.42,28.24,73.58,11.45,12.71,54.31,0.2203,24.66,140,-155.03,10.46,93.89,-30.576,13.83,108.18,0.046,29.38,111.63,0.074,25.99,150.12,0.098,27.11,111.61,0.044,26.94,80.12,0.071,10.92,76.86,0.239,22.39,91.43,0.202,17.53,86.46,0.227,16.57,96.45,0.165,13.26,123.45,0.267,22.71,117.93,23.09,15.53,84.43,22.98,25.65,126.91,23.09,19.07,75.11,23,22.48,22.89
OK,15.57,116.83,54.34,14.78,94.59,10.94,15.88,85.07,11.35,21.38,111.18,11.45,20.43,149.49,11.42,17.83,118.19,11.45,28.83,79.84,0.2202,16.91,112.93,28.07,21.18,120.18,-26.002,13.04,125.72,0.061,17.16,67.81,0.059,16.39,92.75,0.076,18.17,78.37,0.051,22.3,81.32,0.042,15.18,106.25,0.22,10.16,82.18,0.217,26.22,76.9,0.306,14.67,123.48,0.207,27.53,125.59,0.229,12.86,67.05,23.08,15.78,96.03,22.98,21.68,111.62,23.12,14.24,115.56,23.03,10.26,22.88
OK,10.92,106.57,123.26,13.61,113.61,11.35,22.79,110.42,11.33,19.06,90.44,11.42,18.03,80.75,11.42,17.05,120.5,11.42,12.55,55.1,0.2203,12.63,91.29,-396.14,10.11,115.24,-105.808,23.84,81.37,0.046,14.97,90.68,0.054,22.42,68,0.081,17.47,111.51,0.061,12.82,91.1,0.046,22.79,141.38,0.279,29.32,63.36,0.182,13.58,106.2,0.205,26.86,76.64,0.175,16.4,95.31,0.239,25.5,98.42,23.03,29.25,93.49,22.98,18.05,83.78,23.12,18.77,99.67,23.03,15.45,22.86
OK,15.56,66.94,53.46,27.88,79.01,11.31,11.39,100.95,11.35,18.53,129.32,11.42,13.77,65.89,11.4,13.32,86.86,11.42,17.68,111.13,0.2204,22.3,43.64,29.29,21.03,67.22,2.312,26.19,111.62,0.051,20.45,102.44,0.059,20.27,74.1,0.071,27,87.2,0.051,11.47,99.4,0.051,20.44,102.52,0.318,15.72,118.24,0.281,15.88,111.54,0.306,13.66,96.82,0.207,23.78,90.91,0.232,26.46,115.26,23.08,22.68,108.23,22.93,28.66,116.82,23.13,20.46,82.9,23.04,19.34,22.88
OK,16.28,117.05,54.5,14.7,88.16,11.33,22.23,65.89,11.33,25.54,129.44,11.45,13.81,113.24,11.42,29.12,123.81,11.51,22.79,100.73,0.2199,12.77,120.87,-231.94,17.49,93.77,-78.829,15.02,84.06,0.059,28.7,77.48,0.069,21.49,79.4,0.054,15.11,110.71,0.059,13.85,97.89,0.054,17.17,75.35,0.291,24,73.32,0.175,29.55,113.57,0.269,18.85,87.52,0.252,21.63,93.3,0.262,22.86,133.28,23.09,22.47,101.48,22.95,16.28,99.69,23.13,26.74,101.79,23.06,16.35,22.89
OK,19.86,63.07,54.62,29.62,102.23,11.31,27.07,101.2,11.35,19.03,113.76,11.42,14.63,114.54,11.38,14.87,98.03,11.42,16.43,87.6,0.2201,15.73,127.45,86.06,11.16,87.49,-15.518,20.44,121.73,0.054,19.38,92.31,0.056,22.6,94.41,0.086,18.7,108.22,0.069,25.76,89.19,0.054,13,115.89,0.229,29.68,112.87,0.215,28.64,106.23,0.281,23.6,107.62,0.22,24.65,116.79,0.227,26.76,111.43,23.08,12.09,94.27,22.96,29.49,67.85,23.12,16.66,91.63,23.03,12.35,22.92
OK,17.86,116.91,54.13,23.64,94.44,11.31,22.57,94.18,11.32,18.32,124.53,11.42,20.78,101.66,11.42,26.98,120.73,11.42,14.21,114.43,0.2207,16.72,51.19,21.97,14.46,138.37,16.033,22,104.27,0.059,29.9,87.12,0.056,28.23,113.85,0.056,26.92,108,0.064,20.04,97.38,0.046,17.3,116.09,0.296,28.9,142.04,0.229,18,72.31,0.338,12.26,105.31,0.244,27.7,89.71,0.234,25.18,109.51,23.07,15.29,115.49,22.99,21.44,92.93,23.1,15.42,102.8,23.04,14.35,22.87
OK,20.54,124.85,54.15,17.31,137.57,11.33,23.71,108.62,11.33,11.69,129.77,11.4,24.84,131.23,11.42,14.86,66.21,11.45,17.25,107.39,0.2206,23.84,71.5,-115.36,15.12,116.99,-78.83,13.42,102.18,0.059,12.87,90.33,0.059,15.82,83.38,0.081,25.65,108.78,0.066,12.81,75.65,0.046,11.3,106.77,0.323,11.13,105.4,0.227,11.05,84.84,0.254,21.84,105.12,0.185,12.08,115.18,0.252,13.92,109.22,23.07,17.69,104.24,22.96,12.14,119.98,23.13,22.66,82.28,23.05,28.07,22.88
OK,29.28,78.46,54.61,23.63,143.84,11.33,20.51,100.69,11.29,15.07,103.72,11.45,26.45,33.67,11.45,29.61,94.66,11.4,10.48,110.23,0.2202,18.61,84.43,20.14,20.75,101.67,15.622,22.88,98.39,0.054,12.2,99.15,0.066,28.47,83.52,0.069,15.78,79.64,0.046,25.12,139.7,0.059,15.2,122.95,0.19,20.59,72.9,0.242,12.49,134.04,0.309,19.9,127.27,0.227,18.85,92.56,0.257,18.27,138.73,23.07,20.48,116.1,22.95,28.31,94.67,23.14,24.09,71.65,23.02,20.09,22.91
