date,StartPoint,Gyeonggi,Chungcheong,Jeolla,Gyeongsang,Gangwon
20140101,CHUNGCHEONG,83318.0,104617.0,4147.0,4126.0,6021.0
20140101,GANGWON,57398.0,5783.0,427.0,991.0,102850.0
20140101,GYEONGGI,373199.0,82263.0,3114.0,5841.0,51386.0
20140101,GYEONGSANG,6926.0,5368.0,15514.0,334217.0,986.0
20140101,JEOLLA,3298.0,4759.0,130474.0,14832.0,478.0
20140102,CHUNGCHEONG,78558.0,129931.0,3787.0,4480.0,5270.0
20140102,GANGWON,45843.0,5452.0,487.0,1106.0,69427.0
20140102,GYEONGGI,517935.0,89221.0,3046.0,6662.0,43191.0
20140102,GYEONGSANG,6574.0,4374.0,11904.0,375157.0,1061.0
20140102,JEOLLA,3245.0,4046.0,108721.0,12056.0,435.0
20140103,CHUNGCHEONG,92550.0,140382.0,5041.0,5902.0,6449.0
20140103,GANGWON,45924.0,5381.0,523.0,1245.0,75268.0
20140103,GYEONGGI,555038.0,91017.0,3719.0,8137.0,52386.0
20140103,GYEONGSANG,8403.0,5544.0,12967.0,394837.0,1325.0
20140103,JEOLLA,3516.0,4443.0,114885.0,12455.0,532.0
20140104,CHUNGCHEONG,87989.0,123364.0,5038.0,5478.0,6795.0
20140104,GANGWON,50296.0,5123.0,510.0,1067.0,79599.0
20140104,GYEONGGI,468592.0,89233.0,4413.0,7747.0,60970.0
20140104,GYEONGSANG,7063.0,4897.0,14179.0,372645.0,1258.0
20140104,JEOLLA,3489.0,4382.0,121962.0,12729.0,410.0
20140105,CHUNGCHEONG,77745.0,97613.0,3916.0,3714.0,4459.0
20140105,GANGWON,56457.0,5133.0,530.0,1181.0,73614.0
20140105,GYEONGGI,359233.0,74418.0,3058.0,5703.0,40280.0
20140105,GYEONGSANG,7998.0,5205.0,12148.0,313524.0,892.0
20140105,JEOLLA,4717.0,4810.0,105479.0,12806.0,416.0
20140106,CHUNGCHEONG,81604.0,136993.0,3882.0,4386.0,5024.0
20140106,GANGWON,39991.0,4614.0,411.0,860.0,63725.0
20140106,GYEONGGI,541059.0,91474.0,2936.0,5950.0,42085.0
20140106,GYEONGSANG,6021.0,4442.0,10827.0,379865.0,948.0
20140106,JEOLLA,2932.0,4103.0,109079.0,10135.0,395.0
20140107,CHUNGCHEONG,84953.0,137040.0,4234.0,5015.0,5235.0
20140107,GANGWON,39869.0,4802.0,375.0,1034.0,65290.0
20140107,GYEONGGI,553373.0,86070.0,2846.0,6780.0,40062.0
20140107,GYEONGSANG,6976.0,4670.0,11141.0,382001.0,1059.0
20140107,JEOLLA,2777.0,3742.0,106745.0,10419.0,376.0
20140108,CHUNGCHEONG,79778.0,128960.0,3797.0,4635.0,4832.0
20140108,GANGWON,36223.0,4352.0,387.0,953.0,59063.0
20140108,GYEONGGI,531726.0,79020.0,2402.0,5849.0,35655.0
20140108,GYEONGSANG,6661.0,4125.0,9911.0,353808.0,968.0
20140108,JEOLLA,2520.0,3426.0,97287.0,9550.0,382.0
20140109,CHUNGCHEONG,79647.0,131104.0,3787.0,4646.0,4958.0
20140109,GANGWON,35401.0,4385.0,386.0,927.0,58664.0
20140109,GYEONGGI,531066.0,79736.0,2580.0,5889.0,35937.0
20140109,GYEONGSANG,6633.0,4375.0,10289.0,370805.0,945.0
20140109,JEOLLA,2440.0,3590.0,100317.0,9814.0,370.0
20140110,CHUNGCHEONG,93543.0,142076.0,5119.0,5782.0,6163.0
20140110,GANGWON,41592.0,5264.0,520.0,1153.0,67122.0
20140110,GYEONGGI,557804.0,88232.0,3601.0,7372.0,49543.0
20140110,GYEONGSANG,8331.0,5470.0,12011.0,388955.0,1256.0
20140110,JEOLLA,3364.0,4756.0,109011.0,11838.0,507.0
20140111,CHUNGCHEONG,93852.0,127802.0,5387.0,5475.0,7189.0
20140111,GANGWON,50977.0,5261.0,438.0,1008.0,89733.0
20140111,GYEONGGI,488456.0,92946.0,4536.0,7627.0,63490.0
20140111,GYEONGSANG,6833.0,4729.0,14148.0,383907.0,1309.0
20140111,JEOLLA,3423.0,4488.0,121774.0,12790.0,417.0
20140112,CHUNGCHEONG,78642.0,98318.0,3857.0,3694.0,4758.0
20140112,GANGWON,57199.0,5360.0,485.0,1189.0,83512.0
20140112,GYEONGGI,369717.0,76985.0,2819.0,5283.0,42210.0
20140112,GYEONGSANG,7543.0,5033.0,12351.0,322332.0,914.0
20140112,JEOLLA,4463.0,4649.0,105699.0,12893.0,397.0
20140113,CHUNGCHEONG,81209.0,135498.0,3745.0,4113.0,5121.0
20140113,GANGWON,39702.0,4654.0,401.0,888.0,63269.0
20140113,GYEONGGI,534925.0,92157.0,2773.0,5694.0,40711.0
20140113,GYEONGSANG,5813.0,4215.0,10737.0,373398.0,903.0
20140113,JEOLLA,2710.0,3811.0,104953.0,10247.0,451.0
20140114,CHUNGCHEONG,81784.0,133053.0,3858.0,4916.0,5085.0
20140114,GANGWON,36731.0,4678.0,434.0,925.0,62095.0
20140114,GYEONGGI,541351.0,83678.0,2664.0,6341.0,37518.0
20140114,GYEONGSANG,6675.0,4647.0,10653.0,378357.0,980.0
