cust_no,item_no
00001,1322
00002,2273
00002,2275
00003,1309
00003,605
00004,1411
00005,898
00005,1272
00005,455
00006,461
00007,2514
00008,1279
00009,2219
00009,807
00009,2428
00010,1150
00010,553
00011,1493
00011,2625
00011,1681
00012,2238
00013,1084
00014,775
00015,29
00016,1160
00017,1167
00018,666
00019,1407
00020,2099
00021,2012
00022,1644
00023,873
00024,2066
00024,898
00025,577
00026,2524
00027,848
00028,454
00029,1646
00030,295
00408,1441
00408,421
00408,258
00408,2426
00033,1262
00034,377
00035,980
00036,1568
00037,2317
00038,1421
00038,896
00039,2158
00040,1136
00041,2248
00042,2599
00043,2022
00044,952
00045,1148
00046,383
00047,1997
00047,1559
00048,731
00049,1878
00049,302
00050,2393
00051,1892
00052,576
00053,12
00053,268
00054,29
00054,2226
00054,1416
00055,512
00055,2228
00056,579
00057,991
00058,1265
00059,1208
00060,898
00061,2438
00062,2493
00062,1565
00063,2066
00064,1684
00065,1349
00065,1910
00066,803
00066,775
00066,1452
00066,823
00067,561
00068,1470
00068,2073
00069,1747
00070,2153
00519,2520
00519,637
00519,2055
00519,1884
00519,865
00519,2562
00519,372
00519,1823
00519,1877
00519,455
00519,372
00079,341
00080,775
01012,2611
01012,1690
01012,554
00084,898
00084,202
00085,1977
00085,1262
00086,554
00087,1119
00088,1963
00089,745
00090,1706
00121,1811
00121,1067
00121,492
00121,519
00121,2308
00121,1549
00121,1179
00121,2504
00121,1690
00121,668
00121,2271
00121,948
00121,190
00121,1956
00121,1136
00121,1314
00901,268
00901,476
00901,1591
00901,1302
00901,2231
00901,1021
00901,498
00504,1210
00504,848
00504,1195
00504,2067
00705,2150
00705,2
00106,829
00106,2272
00112,404
00112,67
00113,1868
00114,2454
00115,1649
00116,365
00117,423
00118,2432
00119,1681
00119,2268
00120,1136
00092,1848
00092,920
00092,1811
00092,1786
00092,629
00203,325
00007,833
00007,2471
00007,2264
00009,12
00009,760
00009,2447
00130,2320
00010,1100
00010,605
00010,1162
00010,296
00010,681
00010,1615
00010,1035
00010,1461
00010,1600
00010,1498
00010,492
00141,138
00142,1884
00143,206
00143,1790
00144,2211
00145,2315
00145,1913
00146,1928
00147,1658
00147,1503
00147,1832
00148,889
00149,218
00149,2219
00149,866
00149,161
00150,1977
00150,747
00151,2339
00151,2393
00152,1002
00152,1316
00152,1208
00153,46
00154,761
00155,2176
00156,763
00156,1977
00157,2581
00158,2447
00159,1665
00160,1746
00161,1730
00162,1023
00163,1740
00163,727
00164,334
00165,1989
00166,2501
00166,937
00167,2474
00168,1074
00169,2032
00170,294
00171,830
00171,588
00172,2454
00173,2223
00173,32
00174,488
00175,126
00176,1932
00177,2490
00177,2520
00177,1958
00177,1314
00178,1352
00178,360
00178,1914
00178,307
00179,1579
00180,1198
00181,1195
00182,2073
00183,1402
00184,2208
00185,1150
00185,1753
00186,306
00187,1746
00188,403
00189,1349
00190,1436
00190,308
00190,1993
00191,605
00191,533
00192,1385
00193,1681
00194,492
00195,469
00196,2185
00197,268
00198,2158
00198,127
00199,494
00199,1848
00200,334
00200,1905
00201,751
00202,1596
00202,1993
00203,478
00204,2306
00205,1593
00205,2206
00205,1089
00206,1121
00207,2624
00208,669
00208,317
00208,2476
00209,767
00210,2290
00210,54
00210,1731
00211,1475
00211,1190
00212,2407
00212,2372
00212,1288
00213,204
00214,553
00215,225
00216,137
00216,1390
00217,1402
00218,1961
00218,670
00219,747
00220,1655
00220,424
