playerID,yearID,teamID,lgID,AB,R,H,X2B,X3B,HR,RBI,SB,BB,SO,HBP,SH,SF
abadfe01,2011,HOU,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
abreubo01,2011,LAA,AL,502,54,127,30,1,8,60,21,78,113,1,1,3
abreuju01,2011,HOU,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
accarje01,2011,BAL,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
aceveal01,2011,BOS,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
ackledu01,2011,SEA,AL,333,39,91,16,7,6,36,6,40,79,0,0,3
acostma01,2011,NYN,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
adamsmi03,2011,SDN,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
adamsry01,2011,BAL,AL,89,9,25,4,0,0,7,0,6,25,1,0,0
adcocna01,2011,KCA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
affelje01,2011,SFN,NL,1,0,0,0,0,0,0,0,1,1,0,0,0
alberma01,2011,BOS,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
albural01,2011,DET,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
alfonel01,2011,COL,NL,75,2,20,1,0,1,9,0,3,13,1,0,0
allenbr01,2011,ARI,NL,29,5,5,0,0,3,7,1,7,13,1,0,0
almoner01,2011,MIL,NL,29,1,3,0,0,1,3,0,0,4,0,0,0
alonsyo01,2011,CIN,NL,88,9,29,4,0,5,15,0,10,21,0,0,0
altuvjo01,2011,HOU,NL,221,26,61,10,1,2,12,7,5,29,2,5,1
alvarhe01,2011,TOR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
alvarpe01,2011,PIT,NL,235,18,45,9,1,4,19,1,24,80,2,1,0
amarial01,2011,LAA,AL,52,2,8,3,1,0,5,0,2,8,0,1,1
amezaal01,2011,COL,NL,33,5,8,1,0,0,2,0,3,7,0,1,1
anderbr04,2011,OAK,AL,1,0,0,0,0,0,0,0,0,0,0,0,0
anderla03,2011,BOS,AL,5,2,0,0,0,0,0,0,0,3,0,0,0
andinro01,2011,BAL,AL,457,63,120,22,0,5,36,13,41,83,3,9,1
andruel01,2011,TEX,AL,587,96,164,27,3,5,60,37,56,74,5,16,1
anglema01,2011,BAL,AL,79,12,14,4,0,1,7,11,12,13,1,3,0
ankieri01,2011,WAS,NL,380,46,91,20,0,9,37,10,29,96,2,3,1
arencjp01,2011,TOR,AL,443,47,97,20,4,23,78,1,36,133,4,0,3
arredjo01,2011,CIN,NL,2,0,1,0,0,0,0,0,0,1,0,0,0
arrieja01,2011,BAL,AL,4,0,1,0,0,0,1,0,0,1,0,1,0
arroybr01,2011,CIN,NL,57,1,6,2,0,0,2,0,1,27,0,8,0
ascanjo01,2011,PIT,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
atchisc01,2011,BOS,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
atkinmi01,2011,BAL,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
augenbr01,2011,SLN,NL,1,0,1,0,0,0,0,0,0,0,0,0,0
avilaal01,2011,DET,AL,464,63,137,33,4,19,82,3,73,131,3,3,8
avilemi01,2011,KCA,AL,185,14,41,11,3,5,31,10,9,27,2,3,3
axelrdy01,2011,CHA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
axforjo01,2011,MIL,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
ayalalu01,2011,NYA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
aybarer01,2011,LAA,AL,556,71,155,33,8,10,59,30,31,68,6,9,3
badenbu01,2011,FLO,NL,7,1,2,1,0,0,1,0,1,5,0,0,0
