cust_no,age_gender,update_dt
00695,20S F,20180825
12875,20S M,20180825
12971,20S F,20180825
14991,50S M,20180825
14991,50S M,20180825
16759,20S F,20180825
16759,20S F,20180825
01775,20S M,20180825
06490,50S M,20180825
17134,50S M,20180825
17134,50S M,20180825
06055,50S M,20180825
05753,50S M,20180825
09593,50S M,20180825
11279,20S F,20180825
11765,50S M,20180825
03064,20S F,20180825
12559,20S M,20180825
12559,20S M,20180825
18178,20S M,20180825
12446,20S F,20180825
12058,20S F,20180825
12058,20S F,20180825
14925,20S F,20180825
14925,20S F,20180825
06124,50S M,20180825
06124,50S M,20180825
10906,20S M,20180825
10906,20S M,20180825
18477,20S F,20180825
18477,20S F,20180825
18477,20S F,20180825
02530,50S M,20180825
06379,20S M,20180825
07920,50S M,20180825
10136,20S F,20180825
11934,20S M,20180825
13456,50S M,20180825
01810,20S F,20180825
01810,20S F,20180825
12400,20S F,20180825
12400,20S F,20180825
13924,50S M,20180825
15108,20S F,20180825
14184,20S F,20180825
15419,20S F,20180825
15419,20S F,20180825
18184,50S M,20180825
18184,50S M,20180825
02501,20S M,20180825
02513,20S M,20180825
05120,20S M,20180825
05455,20S M,20180825
05461,50S M,20180825
14075,20S M,20180825
18045,20S F,20180825
07517,50S M,20180825
12919,20S M,20180825
00172,20S F,20180825
00172,20S F,20180825
03203,20S M,20180825
03203,20S M,20180825
17422,20S M,20180825
00497,20S M,20180825
07775,20S M,20180825
09045,50S M,20180825
12397,20S F,20180825
12397,20S F,20180825
12397,20S F,20180825
12692,20S M,20180825
12995,20S M,20180825
04252,20S F,20180825
04252,20S F,20180825
06539,20S M,20180825
08350,50S M,20180825
08525,50S M,20180825
17841,50S M,20180825
00866,20S F,20180825
00866,20S F,20180825
08647,20S F,20180825
10061,50S M,20180825
18582,20S F,20180825
18582,20S F,20180825
18582,20S F,20180825
18582,20S F,20180825
01268,20S M,20180825
01268,20S M,20180825
08871,20S F,20180825
12463,20S M,20180825
12545,20S M,20180825
03947,20S M,20180825
06754,20S M,20180825
04744,20S M,20180825
04744,20S M,20180825
